
print_multiple_paths
start room: Sjx1
room: Zif8 room->path:0x7ff26a5f3230 child_room:N_r4 level:14				total_steps_of_path:0 min_ants:0
room: N_r4 room->path:0x7ff26a5c8b20 child_room:Gz_7 level:15				total_steps_of_path:0 min_ants:0
room: Gz_7 room->path:0x7ff26a5e3fb0 child_room:Qmw4 level:16				total_steps_of_path:0 min_ants:0
room: Qmw4 room->path:0x7ff26a5dbea0 child_room:B_v7 level:17				total_steps_of_path:0 min_ants:0
room: B_v7 room->path:0x7ff26a5d5910 child_room:Y_u2 level:18				total_steps_of_path:0 min_ants:0
room: Y_u2 room->path:0x7ff26a5fb070 child_room:Yg_2 level:19				total_steps_of_path:0 min_ants:0
room: Yg_2 room->path:0x7ff26a5d2f80 child_room:Wlm9 level:20				total_steps_of_path:0 min_ants:0
room: Wlm9 room->path:0x7ff26a5cf1f0 child_room:Yhz7 level:21				total_steps_of_path:0 min_ants:0
room: Yhz7 room->path:0x7ff26a5c1730 child_room:Qwh4 level:22				total_steps_of_path:0 min_ants:0
room: Qwh4 room->path:0x7ff26a5e5400 child_room:D_v9 level:23				total_steps_of_path:0 min_ants:0
room: D_v9 room->path:0x7ff26a5f79c0 child_room:Vyc9 level:24				total_steps_of_path:0 min_ants:0
room: Vyc9 room->path:0x7ff26a5c05b0 child_room:Aty6 level:25				total_steps_of_path:0 min_ants:0
room: Aty6 room->path:0x7ff26a5c51a0 child_room:Pej9 level:26				total_steps_of_path:0 min_ants:0
room: Pej9 room->path:0x7ff26a5ec5c0 child_room:Ekx7 level:27				total_steps_of_path:0 min_ants:0
room: Ekx7 room->path:0x7ff26a5cce50 child_room:Sh_8 level:28				total_steps_of_path:0 min_ants:0
room: Sh_8 room->path:0x7ff26a5d6720 child_room:Fcj8 level:29				total_steps_of_path:0 min_ants:0
room: Fcj8 room->path:0x7ff26a5ce6b0 child_room:Ysk1 level:30				total_steps_of_path:0 min_ants:0
room: Ysk1 room->path:0x7ff26a5ed1f0 child_room:Gna3 level:31				total_steps_of_path:0 min_ants:0
room: Gna3 room->path:0x7ff26b005b10 child_room:Csm0 level:32				total_steps_of_path:0 min_ants:0
room: Csm0 room->path:0x7ff26a5c6370 child_room:Rhk2 level:33				total_steps_of_path:0 min_ants:0
room: Rhk2 room->path:0x7ff26a5e1cb0 child_room:Miu5 level:34				total_steps_of_path:0 min_ants:0
room: Miu5 room->path:0x7ff26a5ebad0 child_room:Dor4 level:35				total_steps_of_path:0 min_ants:0
room: Dor4 room->path:0x7ff26a5f8410 child_room:Pgg7 level:36				total_steps_of_path:0 min_ants:0
room: Pgg7 room->path:0x7ff26b005d40 child_room:Znk2 level:37				total_steps_of_path:0 min_ants:0
room: Znk2 room->path:0x7ff26a5fd1e0 child_room:Gao6 level:36				total_steps_of_path:0 min_ants:0
room: Gao6 room->path:0x7ff26a5ed3d0 child_room:Fgr0 level:37				total_steps_of_path:0 min_ants:0
room: Fgr0 room->path:0x7ff26a5c29f0 child_room:P_c2 level:38				total_steps_of_path:0 min_ants:0
room: P_c2 room->path:0x7ff26a5cf560 child_room:Hqq4 level:39				total_steps_of_path:0 min_ants:0
room: Hqq4 room->path:0x7ff26a5cdf30 child_room:Dsw6 level:40				total_steps_of_path:0 min_ants:0
room: Dsw6 room->path:0x7ff26a5ccf90 child_room:C__2 level:41				total_steps_of_path:0 min_ants:0
room: C__2 room->path:0x7ff26a5d19a0 child_room:Fep1 level:42				total_steps_of_path:0 min_ants:0
room: Fep1 room->path:0x7ff26a5d4100 child_room:Sln7 level:43				total_steps_of_path:0 min_ants:0
room: Sln7 room->path:0x7ff26a5dd390 child_room:Yiy9 level:44				total_steps_of_path:0 min_ants:0
room: Yiy9 room->path:0x7ff26a5dfd70 child_room:Ibo3 level:45				total_steps_of_path:0 min_ants:0
room: Ibo3 room->path:0x7ff26a5e51d0 child_room:Zse5 level:46				total_steps_of_path:0 min_ants:0
room: Zse5 room->path:0x7ff26a5e3c90 child_room:Rs_9 level:47				total_steps_of_path:0 min_ants:0
room: Rs_9 room->path:0x7ff26a5e86a0 child_room:Ncj2 level:48				total_steps_of_path:0 min_ants:0
room: Ncj2 room->path:0x7ff26a5e7c50 child_room:Dyb1 level:49				total_steps_of_path:0 min_ants:0
room: Dyb1 room->path:0x7ff26a5e9c80 child_room:Yff4 level:50				total_steps_of_path:0 min_ants:0
room: Yff4 room->path:0x7ff26a5ea680 child_room:Pot3 level:51				total_steps_of_path:0 min_ants:0
room: Pot3 room->path:0x7ff26a5ee410 child_room:Bpi1 level:52				total_steps_of_path:0 min_ants:0
room: Bpi1 room->path:0x7ff26a5ef900 child_room:Cao7 level:53				total_steps_of_path:0 min_ants:0
room: Cao7 room->path:0x7ff26a5f0f30 child_room:Zjl8 level:54				total_steps_of_path:0 min_ants:0
room: Zjl8 room->path:0x7ff26a5f2100 child_room:Brm7 level:55				total_steps_of_path:0 min_ants:0
room: Brm7 room->path:0x7ff26a5f3870 child_room:O_n6 level:56				total_steps_of_path:0 min_ants:0
room: O_n6 room->path:0x7ff26a5f8280 child_room:Zpv0 level:57				total_steps_of_path:0 min_ants:0
room: Zpv0 room->path:0x7ff26a5f77e0 child_room:Boi1 level:58				total_steps_of_path:0 min_ants:0
room: Boi1 room->path:0x7ff26a5fafd0 child_room:Xsp3 level:59				total_steps_of_path:0 min_ants:0
room: Xsp3 room->path:0x7ff26a5fee00 child_room:Ptw6 level:60				total_steps_of_path:0 min_ants:0
room: Ptw6 room->path:0x7ff26a5ff9e0 child_room:A_h6 level:61				total_steps_of_path:0 min_ants:0
room: A_h6 room->path:0x7ff26a5f9720 child_room:Ugh1 level:62				total_steps_of_path:0 min_ants:0
room: Ugh1 room->path:0x7ff26a5fc560 child_room:Ndt3 level:63				total_steps_of_path:0 min_ants:0
room: Ndt3 room->path:0x7ff26a5fba20 child_room:Vjv6 level:64				total_steps_of_path:0 min_ants:0
room: Vjv6 room->path:0x7ff26a5fa3f0 child_room:Rko3 level:65				total_steps_of_path:0 min_ants:0
room: Rko3 room->path:0x7ff26b006330 child_room:Tbt4 level:66				total_steps_of_path:0 min_ants:0
room: Tbt4 room->path:0x7ff26b005980 child_room:Fa_3 level:67				total_steps_of_path:0 min_ants:0
room: Fa_3 room->path:0x7ff26b0070a0 child_room:Sdg2 level:68				total_steps_of_path:0 min_ants:0
room: Sdg2 room->path:0x7ff26b007b40 child_room:Sri7 level:69				total_steps_of_path:0 min_ants:0
start room: Sjx1
room: Joa2 room->path:0x7ff26a5d4ec0 child_room:E__8 level:1				total_steps_of_path:64 min_ants:160
room: E__8 room->path:0x7ff26a5cec00 child_room:T_y7 level:2				total_steps_of_path:0 min_ants:0
room: T_y7 room->path:0x7ff26a5eefa0 child_room:He_0 level:3				total_steps_of_path:0 min_ants:0
room: He_0 room->path:0x7ff26a5cdda0 child_room:Qsh6 level:4				total_steps_of_path:0 min_ants:0
room: Qsh6 room->path:0x7ff26a5c0920 child_room:R_h5 level:5				total_steps_of_path:0 min_ants:0
room: R_h5 room->path:0x7ff26a5d7a30 child_room:Ps_5 level:6				total_steps_of_path:0 min_ants:0
room: Ps_5 room->path:0x7ff26a5c4610 child_room:Wwo8 level:7				total_steps_of_path:0 min_ants:0
room: Wwo8 room->path:0x7ff26a5c6820 child_room:Avz3 level:8				total_steps_of_path:0 min_ants:0
room: Avz3 room->path:0x7ff26a5e0310 child_room:Fr_3 level:9				total_steps_of_path:0 min_ants:0
room: Fr_3 room->path:0x7ff26a5cd3a0 child_room:Hqc1 level:10				total_steps_of_path:0 min_ants:0
room: Hqc1 room->path:0x7ff26a5cb780 child_room:Rat7 level:11				total_steps_of_path:0 min_ants:0
room: Rat7 room->path:0x7ff26a5cfe20 child_room:Zrt7 level:12				total_steps_of_path:0 min_ants:0
room: Zrt7 room->path:0x7ff26a5c4d40 child_room:Igy5 level:13				total_steps_of_path:0 min_ants:0
room: Igy5 room->path:0x7ff26a5c7a40 child_room:Bnw0 level:14				total_steps_of_path:0 min_ants:0
room: Bnw0 room->path:0x7ff26a5c5510 child_room:Flc0 level:15				total_steps_of_path:0 min_ants:0
room: Flc0 room->path:0x7ff26a5e6670 child_room:Mpb7 level:16				total_steps_of_path:0 min_ants:0
room: Mpb7 room->path:0x7ff26a5cd9e0 child_room:Agn5 level:17				total_steps_of_path:0 min_ants:0
room: Agn5 room->path:0x7ff26a5d2d00 child_room:Wz_8 level:18				total_steps_of_path:0 min_ants:0
room: Wz_8 room->path:0x7ff26a5c6280 child_room:Mib5 level:19				total_steps_of_path:0 min_ants:0
room: Mib5 room->path:0x7ff26a5d2440 child_room:Ojj5 level:20				total_steps_of_path:0 min_ants:0
room: Ojj5 room->path:0x7ff26a5d3a20 child_room:Ott9 level:21				total_steps_of_path:0 min_ants:0
room: Ott9 room->path:0x7ff26a5cc4a0 child_room:Zz_1 level:22				total_steps_of_path:0 min_ants:0
room: Zz_1 room->path:0x7ff26a5f5850 child_room:Aqm5 level:23				total_steps_of_path:0 min_ants:0
room: Aqm5 room->path:0x7ff26a5f64d0 child_room:Gv_4 level:24				total_steps_of_path:0 min_ants:0
room: Gv_4 room->path:0x7ff26a5f4f40 child_room:Nel4 level:25				total_steps_of_path:0 min_ants:0
room: Nel4 room->path:0x7ff26a5c0d30 child_room:W_w5 level:26				total_steps_of_path:0 min_ants:0
room: W_w5 room->path:0x7ff26a5c38a0 child_room:Oog5 level:27				total_steps_of_path:0 min_ants:0
room: Oog5 room->path:0x7ff26a5c51f0 child_room:Djt8 level:28				total_steps_of_path:0 min_ants:0
room: Djt8 room->path:0x7ff26a5c7270 child_room:I_c8 level:29				total_steps_of_path:0 min_ants:0
room: I_c8 room->path:0x7ff26a5c8e40 child_room:Kbl6 level:30				total_steps_of_path:0 min_ants:0
room: Kbl6 room->path:0x7ff26a5cb190 child_room:Wyw6 level:31				total_steps_of_path:0 min_ants:0
room: Wyw6 room->path:0x7ff26a5cd170 child_room:Kww3 level:32				total_steps_of_path:0 min_ants:0
room: Kww3 room->path:0x7ff26a5cf970 child_room:Oxz7 level:33				total_steps_of_path:0 min_ants:0
room: Oxz7 room->path:0x7ff26a5d1d60 child_room:Ba_4 level:34				total_steps_of_path:0 min_ants:0
room: Ba_4 room->path:0x7ff26a5d52d0 child_room:N_f6 level:35				total_steps_of_path:0 min_ants:0
room: N_f6 room->path:0x7ff26a5d7530 child_room:G_v0 level:36				total_steps_of_path:0 min_ants:0
room: G_v0 room->path:0x7ff26a5d9ec0 child_room:Voe2 level:37				total_steps_of_path:0 min_ants:0
room: Voe2 room->path:0x7ff26a5ddcf0 child_room:Whm1 level:38				total_steps_of_path:0 min_ants:0
room: Whm1 room->path:0x7ff26a5df640 child_room:X_z0 level:39				total_steps_of_path:0 min_ants:0
room: X_z0 room->path:0x7ff26a5e0ef0 child_room:Dbt8 level:40				total_steps_of_path:0 min_ants:0
room: Dbt8 room->path:0x7ff26a5e2340 child_room:X_r6 level:41				total_steps_of_path:0 min_ants:0
room: X_r6 room->path:0x7ff26a5e3e70 child_room:Sfw6 level:42				total_steps_of_path:0 min_ants:0
room: Sfw6 room->path:0x7ff26a5e59a0 child_room:Mwj4 level:43				total_steps_of_path:0 min_ants:0
room: Mwj4 room->path:0x7ff26a5e7840 child_room:Ngp1 level:44				total_steps_of_path:0 min_ants:0
room: Ngp1 room->path:0x7ff26a5e8920 child_room:Mzm0 level:45				total_steps_of_path:0 min_ants:0
room: Mzm0 room->path:0x7ff26a5ed510 child_room:Ctn6 level:46				total_steps_of_path:0 min_ants:0
room: Ctn6 room->path:0x7ff26a5edba0 child_room:Muo0 level:47				total_steps_of_path:0 min_ants:0
